strategy,folds_seen,positive_oos_folds,oos_signals_total,oos_pf_mean,oos_pf_min,oos_avg_return_mean,oos_monthly_positive_ratio_mean,oos_worst_dd,oos_compound_return,gates_passed,gates_total,failure_reasons
UP20_SCORE80_NIKKEION_TP4.0_SL1.25_H1,4,4,242,8.302893933486637,2.24878504647109,3.069515031930306,59.13461538461538,-19.32862419833861,12.789150708431674,6,6,PASS
UP25_SCORE80_NIKKEION_TP4.0_SL1.25_H1,4,4,242,8.302893933486637,2.24878504647109,3.069515031930306,59.13461538461538,-19.32862419833861,12.789150708431674,6,6,PASS
UP30_SCORE80_NIKKEION_TP4.0_SL1.25_H1,4,4,242,8.302893933486637,2.24878504647109,3.069515031930306,59.13461538461538,-19.32862419833861,12.789150708431674,6,6,PASS
UP20_SCORE80_NIKKEION_TP4.0_SL1.0_H1,4,4,242,7.718327173882003,2.1920613242256577,3.027677289281465,57.21153846153846,-21.52659721297336,12.602182764251424,6,6,PASS
UP25_SCORE80_NIKKEION_TP4.0_SL1.0_H1,4,4,242,7.718327173882003,2.1920613242256577,3.027677289281465,57.21153846153846,-21.52659721297336,12.602182764251424,6,6,PASS
UP30_SCORE80_NIKKEION_TP4.0_SL1.0_H1,4,4,242,7.718327173882003,2.1920613242256577,3.027677289281465,57.21153846153846,-21.52659721297336,12.602182764251424,6,6,PASS
UP20_SCORE80_NIKKEION_TP3.5_SL1.25_H1,4,4,242,7.7442093896165085,1.928503782759787,2.820778422051948,59.13461538461538,-22.345667667345005,11.715781112013367,6,6,PASS
UP25_SCORE80_NIKKEION_TP3.5_SL1.25_H1,4,4,242,7.7442093896165085,1.928503782759787,2.820778422051948,59.13461538461538,-22.345667667345005,11.715781112013367,6,6,PASS
UP30_SCORE80_NIKKEION_TP3.5_SL1.25_H1,4,4,242,7.7442093896165085,1.928503782759787,2.820778422051948,59.13461538461538,-22.345667667345005,11.715781112013367,6,6,PASS
UP20_SCORE80_NIKKEION_TP3.5_SL1.0_H1,4,4,242,7.178889483220295,2.069084417899681,2.819621392844026,57.21153846153846,-21.52659721297336,11.71032059628625,6,6,PASS
UP25_SCORE80_NIKKEION_TP3.5_SL1.0_H1,4,4,242,7.178889483220295,2.069084417899681,2.819621392844026,57.21153846153846,-21.52659721297336,11.71032059628625,6,6,PASS
UP30_SCORE80_NIKKEION_TP3.5_SL1.0_H1,4,4,242,7.178889483220295,2.069084417899681,2.819621392844026,57.21153846153846,-21.52659721297336,11.71032059628625,6,6,PASS
UP20_SCORE80_NIKKEION_TP4.0_SL1.5_H1,2,2,107,8.962892605393282,2.909910462030721,4.135721735767317,56.73076923076923,-22.51193959400205,8.408793035234275,5,6,fold数不足(2/4)
UP25_SCORE80_NIKKEION_TP4.0_SL1.5_H1,2,2,107,8.962892605393282,2.909910462030721,4.135721735767317,56.73076923076923,-22.51193959400205,8.408793035234275,5,6,fold数不足(2/4)
UP30_SCORE80_NIKKEION_TP4.0_SL1.5_H1,2,2,107,8.962892605393282,2.909910462030721,4.135721735767317,56.73076923076923,-22.51193959400205,8.408793035234275,5,6,fold数不足(2/4)
UP20_SCORE80_NIKKEION_TP4.0_SL1.75_H1,2,2,107,7.9679694255342675,2.511391926301319,3.9975226199411047,56.73076923076923,-25.586218940812245,8.118916392528952,5,6,fold数不足(2/4)
UP25_SCORE80_NIKKEION_TP4.0_SL1.75_H1,2,2,107,7.9679694255342675,2.511391926301319,3.9975226199411047,56.73076923076923,-25.586218940812245,8.118916392528952,5,6,fold数不足(2/4)
UP30_SCORE80_NIKKEION_TP4.0_SL1.75_H1,2,2,107,7.9679694255342675,2.511391926301319,3.9975226199411047,56.73076923076923,-25.586218940812245,8.118916392528952,5,6,fold数不足(2/4)
UP20_SCORE80_NIKKEION_TP4.0_SL2.0_H1,2,2,107,7.226064296539203,2.254937394719733,3.894573044436588,56.73076923076923,-28.521572539236296,7.902768365132284,5,6,fold数不足(2/4)
UP25_SCORE80_NIKKEION_TP4.0_SL2.0_H1,2,2,107,7.226064296539203,2.254937394719733,3.894573044436588,56.73076923076923,-28.521572539236296,7.902768365132284,5,6,fold数不足(2/4)
